cell,num_controls,in_dim,baseline_mean,baseline_p99,baseline_max,op_beta,op_q,op_mean,op_p99,op_max,op_p99_reduction_pct,op_cuts_tail,oracle_best_q,oracle_p99,oracle_p99_reduction_pct,verdict
SBO,4,25,0.014546561725960229,0.0895289072915911,0.291791233420372,0.5,0.1,0.011756004374318585,0.05954849595576501,0.20602821484208106,33.48685049643398,True,0.02,0.07044258166104553,21.318617872082793,gating cuts the tail at mean-neutral operating point
LLOCA_CSP,4,25,0.008987120408303446,0.0454919619038701,0.09741136059165001,0.5,0.1,0.007293534969792998,0.033663745760917664,0.09606945589184761,26.000672751698108,True,0.05,0.030676308818161503,32.56762835820496,gating cuts the tail at mean-neutral operating point
LLOCA_ECSBS,4,25,0.007403859122609993,0.04094880017638206,0.2658184260129929,1.0,0.01,0.0071184460865338335,0.03618611732125282,0.22025746032595633,11.6308239426175,True,0.005,0.03893975333869457,4.906241035228774,gating cuts the tail at mean-neutral operating point
TLOFW_CSP,5,26,0.012726163520616746,0.05577808260917666,0.2324196957051754,1.0,0.01,0.012352554149791035,0.04488730896264316,0.2324196957051754,19.525184690987818,True,0.005,0.05137489847838886,7.894111674006137,gating cuts the tail at mean-neutral operating point
TLOFW_ECSBS,5,26,0.012305854859708006,0.05648558449745179,0.2553772322833538,1.0,0.005,0.01194075226427821,0.05072791961580515,0.23341424241662026,10.193158011680632,True,0.01,0.04967527514696122,12.056721039680141,gating cuts the tail at mean-neutral operating point
